sequenceNumber;(accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 

Sensors:
     0. Accelerometer @ 2000 us.
     1. Gyroscope @ 2000 us.
     2. Magnetometer @ 2000 us.
     3. Ambient Light Sensor disabled.
     4. Pressure Sensor disabled.
     5. Proximity Sensor disabled.
     6. Sensor Fusion @ 2000 us.

14413; -0.3467; 0.2764; -9.5811;   0.00;   0.00;   0.00;  -0.33;   0.90;   0.08 
14414; -0.2988; 0.2949; -9.6260;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14415; -0.3018; 0.3262; -9.6328;   0.00;  -0.00;  -0.00;  -0.32;   0.89;   0.08 
14416; -0.3320; 0.2920; -9.5615;   0.00;  -0.00;   0.00;  -0.34;   0.91;   0.08 
14417; -0.3291; 0.2686; -9.5771;   0.00;  -0.00;  -0.00;  -0.33;   0.90;   0.08 
14418; -0.3457; 0.2852; -9.5566;   0.00;   0.00;  -0.00;  -0.33;   0.90;   0.07 
14419; -0.2959; 0.2754; -9.5488;   0.00;   0.00;   0.00;  -0.33;   0.89;   0.08 
14420; -0.3008; 0.3379; -9.5723;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14421; -0.3379; 0.3184; -9.6270;   0.00;  -0.00;  -0.00;  -0.33;   0.92;   0.07 
14422; -0.3115; 0.3232; -9.6113;  -0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14423; -0.2881; 0.2686; -9.5605;  -0.00;  -0.00;   0.00;  -0.32;   0.91;   0.07 
14425; -0.3174; 0.2471; -9.5605;  -0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14427; -0.3066; 0.3096; -9.6377;   0.00;  -0.00;  -0.00;  -0.33;   0.91;   0.07 
14445; -0.2988; 0.2881; -9.5811;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14446; -0.2549; 0.2988; -9.5342;   0.00;   0.00;   0.00;  -0.34;   0.90;   0.08 
14447; -0.2793; 0.2734; -9.5674;   0.00;  -0.00;  -0.00;  -0.32;   0.91;   0.07 
14448; -0.3252; 0.3057; -9.5898;   0.00;   0.00;  -0.00;  -0.33;   0.91;   0.07 
14449; -0.3213; 0.3438; -9.6553;   0.00;   0.00;   0.00;  -0.33;   0.91;   0.07 
14450; -0.3496; 0.3457; -9.5928;   0.00;   0.00;   0.00;  -0.33;   0.91;   0.08 
14451; -0.3535; 0.2812; -9.5859;   0.00;   0.00;  -0.00;  -0.33;   0.90;   0.08 
14452; -0.3682; 0.2783; -9.5898;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.08 
14453; -0.3057; 0.2568; -9.5850;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.07 
14454; -0.3389; 0.2656; -9.5693;   0.00;   0.00;   0.00;  -0.33;   0.91;   0.07 
14455; -0.3223; 0.3105; -9.5469;   0.00;   0.00;   0.00;  -0.33;   0.90;   0.08 
14456; -0.3057; 0.2979; -9.5742;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14457; -0.3105; 0.2900; -9.5713;   0.00;  -0.00;  -0.00;  -0.33;   0.91;   0.07 
14458; -0.3916; 0.2734; -9.5254;   0.00;   0.00;   0.00;  -0.33;   0.91;   0.07 
14459; -0.2949; 0.2451; -9.5068;  -0.00;  -0.00;   0.00;  -0.32;   0.90;   0.08 
14460; -0.3291; 0.3145; -9.5205;  -0.00;  -0.00;  -0.00;  -0.32;   0.90;   0.08 
14461; -0.3682; 0.2930; -9.6016;   0.00;   0.00;   0.00;  -0.33;   0.90;   0.08 
14462; -0.3584; 0.3096; -9.5752;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.08 
14463; -0.3438; 0.2637; -9.5645;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14464; -0.3184; 0.3154; -9.6211;   0.00;   0.00;   0.00;  -0.33;   0.90;   0.07 
14465; -0.3154; 0.3438; -9.5840;  -0.00;   0.00;   0.00;  -0.33;   0.90;   0.08 
14466; -0.3750; 0.2598; -9.5977;  -0.00;   0.00;   0.00;  -0.33;   0.91;   0.08 
14467; -0.3779; 0.2920; -9.6250;   0.00;   0.00;   0.00;  -0.33;   0.91;   0.07 
14468; -0.3164; 0.2998; -9.6377;   0.00;   0.00;   0.00;  -0.33;   0.91;   0.07 
14469; -0.3105; 0.2793; -9.6123;   0.00;   0.00;  -0.00;  -0.33;   0.91;   0.08 
14470; -0.3398; 0.3584; -9.5996;   0.00;  -0.00;   0.00;  -0.33;   0.89;   0.08 
14471; -0.2871; 0.3174; -9.5947;  -0.00;  -0.00;   0.00;  -0.33;   0.91;   0.08 
14472; -0.2969; 0.3350; -9.6230;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14473; -0.2949; 0.3096; -9.6328;  -0.00;   0.00;   0.00;  -0.33;   0.91;   0.07 
14474; -0.3535; 0.3125; -9.5410;   0.00;   0.00;  -0.00;  -0.32;   0.90;   0.08 
14475; -0.3105; 0.2979; -9.5830;   0.00;  -0.00;  -0.00;  -0.33;   0.90;   0.07 
14476; -0.3135; 0.2725; -9.6152;  -0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14477; -0.3398; 0.2646; -9.6553;  -0.00;  -0.00;   0.00;  -0.33;   0.90;   0.07 
14478; -0.3594; 0.2832; -9.6475;  -0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14479; -0.3057; 0.3164; -9.5615;  -0.00;  -0.00;   0.00;  -0.32;   0.91;   0.07 
14480; -0.3037; 0.2891; -9.5908;  -0.00;  -0.00;   0.00;  -0.33;   0.90;   0.07 
14481; -0.3037; 0.2793; -9.5957;  -0.00;   0.00;   0.00;  -0.33;   0.90;   0.08 
14482; -0.3428; 0.3086; -9.6826;   0.00;   0.00;  -0.00;  -0.33;   0.90;   0.08 
14483; -0.3252; 0.2656; -9.6289;   0.00;  -0.00;  -0.00;  -0.33;   0.91;   0.07 
14484; -0.3408; 0.2803; -9.5566;   0.00;   0.00;  -0.00;  -0.32;   0.91;   0.07 
14485; -0.3037; 0.3066; -9.6309;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.07 
14486; -0.3262; 0.3359; -9.6416;   0.00;   0.00;   0.00;  -0.33;   0.89;   0.08 
14487; -0.3711; 0.3125; -9.5957;   0.00;  -0.00;   0.00;  -0.33;   0.89;   0.08 
14488; -0.3652; 0.3301; -9.5410;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14489; -0.3408; 0.2725; -9.5498;  -0.00;  -0.00;   0.00;  -0.33;   0.91;   0.06 
14490; -0.2939; 0.3154; -9.6162;  -0.00;  -0.00;   0.00;  -0.32;   0.90;   0.08 
14491; -0.3076; 0.3398; -9.5576;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.08 
14492; -0.2832; 0.2549; -9.5137;   0.00;   0.00;   0.00;  -0.33;   0.91;   0.08 
14493; -0.3145; 0.3145; -9.5205;   0.00;  -0.00;  -0.00;  -0.33;   0.90;   0.07 
14494; -0.2646; 0.3115; -9.5498;   0.00;   0.00;  -0.00;  -0.33;   0.91;   0.08 
14495; -0.3379; 0.2705; -9.5029;   0.00;   0.00;  -0.00;  -0.33;   0.91;   0.08 
14496; -0.3721; 0.3506; -9.6592;   0.00;  -0.00;  -0.00;  -0.32;   0.91;   0.08 
14497; -0.3242; 0.3203; -9.5508;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14498; -0.2842; 0.3506; -9.5771;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14499; -0.2959; 0.2900; -9.5625;   0.00;  -0.00;   0.00;  -0.32;   0.90;   0.07 
14500; -0.2666; 0.2920; -9.5488;   0.00;  -0.00;   0.00;  -0.32;   0.91;   0.07 
14501; -0.3047; 0.2891; -9.5410;   0.00;  -0.00;  -0.00;  -0.32;   0.90;   0.08 
14502; -0.3086; 0.3018; -9.6328;   0.00;  -0.00;  -0.00;  -0.33;   0.90;   0.08 
14503; -0.2988; 0.3740; -9.5732;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14504; -0.3564; 0.2803; -9.5811;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14505; -0.3369; 0.2930; -9.5928;  -0.00;   0.00;   0.00;  -0.33;   0.91;   0.08 
14506; -0.2910; 0.2354; -9.5693;  -0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14507; -0.3223; 0.2744; -9.5889;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14508; -0.3301; 0.3291; -9.5820;  -0.00;  -0.00;  -0.00;  -0.34;   0.90;   0.08 
14509; -0.3467; 0.2891; -9.6016;   0.00;  -0.00;  -0.00;  -0.33;   0.90;   0.08 
14510; -0.2920; 0.3125; -9.5898;   0.00;  -0.00;   0.00;  -0.32;   0.90;   0.08 
14511; -0.2627; 0.3174; -9.5811;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14512; -0.2539; 0.2715; -9.6514;  -0.00;  -0.00;  -0.00;  -0.33;   0.90;   0.07 
14513; -0.3252; 0.2939; -9.6074;   0.00;  -0.00;   0.00;  -0.32;   0.90;   0.07 
14514; -0.3223; 0.2900; -9.5811;   0.00;   0.00;   0.00;  -0.33;   0.90;   0.08 
14515; -0.3223; 0.3184; -9.5557;   0.00;  -0.00;   0.00;  -0.32;   0.91;   0.07 
14516; -0.3252; 0.3398; -9.5576;   0.00;  -0.00;  -0.00;  -0.33;   0.90;   0.07 
14517; -0.3369; 0.2578; -9.6152;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14518; -0.3174; 0.2695; -9.5957;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14519; -0.3184; 0.3076; -9.5898;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.07 
14520; -0.3438; 0.2754; -9.5547;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.07 
14521; -0.2930; 0.2588; -9.5566;  -0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14522; -0.3057; 0.2842; -9.6123;  -0.00;   0.00;   0.00;  -0.33;   0.90;   0.08 
14523; -0.3223; 0.2744; -9.6025;   0.00;   0.00;   0.00;  -0.33;   0.90;   0.08 
14524; -0.3389; 0.3008; -9.5371;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14525; -0.3340; 0.3066; -9.5732;  -0.00;  -0.00;   0.00;  -0.33;   0.91;   0.08 
14526; -0.3262; 0.3223; -9.6699;  -0.00;   0.00;   0.00;  -0.32;   0.91;   0.07 
14527; -0.3105; 0.2822; -9.6055;  -0.00;  -0.00;   0.00;  -0.32;   0.91;   0.07 
14528; -0.3486; 0.2979; -9.5947;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14529; -0.3994; 0.3193; -9.5928;   0.00;   0.00;   0.00;  -0.33;   0.90;   0.08 
14530; -0.3008; 0.2988; -9.6025;   0.00;   0.00;  -0.00;  -0.33;   0.91;   0.07 
14531; -0.3262; 0.2578; -9.5342;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.08 
14532; -0.3623; 0.2383; -9.5293;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14533; -0.3125; 0.3506; -9.5264;  -0.00;   0.00;  -0.00;  -0.33;   0.89;   0.08 
14534; -0.3105; 0.3066; -9.5732;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14535; -0.2725; 0.3389; -9.5918;  -0.00;  -0.00;   0.00;  -0.33;   0.90;   0.07 
14536; -0.3301; 0.3311; -9.5889;   0.00;  -0.00;   0.00;  -0.32;   0.90;   0.08 
14537; -0.3877; 0.2979; -9.5889;   0.00;  -0.00;  -0.00;  -0.32;   0.91;   0.08 
14735; -0.3086; 0.3477; -9.5645;   0.00;   0.00;   0.00;  -0.32;   0.90;   0.08 
14736; -0.3125; 0.2764; -9.5723;  -0.00;  -0.00;   0.00;  -0.33;   0.90;   0.07 
14737; -0.3105; 0.2852; -9.5596;  -0.00;   0.00;  -0.00;  -0.32;   0.90;   0.08 
