sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 
85; -1.7139; -0.1221; 76.2436; 0.0303; 0.1875; -9.8672;   0.02;  -0.04;   1.04;  -0.24;   0.16;   0.07 
86; -1.7077; -0.1291; 76.7193; -0.0186; 0.2705; -9.8564;   0.02;  -0.04;   1.05;  -0.24;   0.16;   0.07 
87; -1.6973; -0.1306; 77.2027; -0.0615; 0.3438; -9.8340;   0.02;  -0.04;   1.05;  -0.25;   0.16;   0.07 
88; -1.6914; -0.1378; 77.6830; -0.0410; 0.2061; -9.8086;   0.02;  -0.04;   1.04;  -0.24;   0.17;   0.06 
89; -1.6812; -0.1395; 78.1613; -0.0264; 0.2168; -9.7705;   0.02;  -0.04;   1.05;  -0.24;   0.16;   0.06 
90; -1.6709; -0.1412; 78.6485; -0.0254; 0.4229; -9.7705;   0.01;  -0.04;   1.05;  -0.24;   0.16;   0.06 
91; -1.6650; -0.1486; 79.1229; -0.0371; 0.3047; -9.8096;   0.02;  -0.04;   1.04;  -0.24;   0.15;   0.07 
92; -1.6647; -0.1514; 79.6049; 0.0010; 0.4053; -9.7979;   0.02;  -0.04;   1.04;  -0.24;   0.15;   0.06 
93; -1.6646; -0.1544; 80.0840; 0.0205; 0.4258; -9.7734;   0.02;  -0.04;   1.05;  -0.24;   0.16;   0.06 
94; -1.6592; -0.1617; 80.5719; -0.0508; 0.3301; -9.7773;   0.02;  -0.04;   1.05;  -0.24;   0.15;   0.06 
95; -1.6591; -0.1648; 81.0356; -0.0078; 0.2734; -9.8066;   0.02;  -0.04;   0.98;  -0.25;   0.16;   0.07 
96; -1.6588; -0.1682; 81.4771; -0.0283; 0.3486; -9.8369;   0.01;  -0.04;   0.98;  -0.24;   0.16;   0.06 
97; -1.6587; -0.1716; 81.9266; -0.0732; 0.3184; -9.8516;   0.01;  -0.04;   0.98;  -0.24;   0.16;   0.06 
98; -1.6587; -0.1748; 82.3842; -0.0449; 0.3506; -9.8174;   0.01;  -0.04;   0.99;  -0.24;   0.16;   0.06 
99; -1.6588; -0.1783; 82.8294; -0.0117; 0.2676; -9.7588;   0.01;  -0.03;   0.98;  -0.24;   0.16;   0.06 
