sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 

Sensors:
     0. Accelerometer @ 2000 us.
     1. Gyroscope @ 2000 us.
     2. Magnetometer @ 2000 us.
     3. Ambient Light Sensor disabled.
     4. Pressure Sensor disabled.
     5. Proximity Sensor disabled.
     6. Sensor Fusion @ 2000 us.

9853; -2.4709; -1.1762; 125.2862; -0.1426; 0.4229; -9.9209;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9854; -2.4709; -1.1762; 125.2862; -0.1670; 0.4697; -9.9043;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9855; -2.4709; -1.1762; 125.2862; -0.2432; 0.4326; -9.9404;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9856; -2.4647; -1.1730; 125.2862; -0.1426; 0.4189; -9.9326;   0.00;  -0.00;  -0.00;  -0.20;  -0.28;   0.58 
9857; -2.4647; -1.1730; 125.2862; -0.1162; 0.3896; -9.9131;   0.00;  -0.00;   0.00;  -0.21;  -0.29;   0.59 
9858; -2.4650; -1.1728; 125.2951; -0.1064; 0.4033; -9.9600;  -0.00;  -0.00;   0.00;  -0.21;  -0.29;   0.59 
9859; -2.4650; -1.1728; 125.2951; -0.2002; 0.4404; -9.9404;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9860; -2.4618; -1.1790; 125.2952; -0.1250; 0.3848; -9.9150;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9861; -2.4618; -1.1790; 125.2952; -0.1201; 0.4639; -9.8457;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9862; -2.4618; -1.1790; 125.2952; -0.1572; 0.4844; -9.8926;   0.00;  -0.00;   0.00;  -0.21;  -0.29;   0.60 
9863; -2.4618; -1.1790; 125.2952; -0.1934; 0.4492; -9.9287;   0.00;   0.00;   0.00;  -0.20;  -0.29;   0.58 
9864; -2.4618; -1.1790; 125.2952; -0.1357; 0.4404; -9.9375;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9865; -2.4618; -1.1790; 125.2952; -0.1855; 0.4062; -9.9307;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9866; -2.4614; -1.1790; 125.2933; -0.1816; 0.4355; -9.9385;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9867; -2.4614; -1.1790; 125.2933; -0.1748; 0.4062; -9.9922;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9868; -2.4614; -1.1790; 125.2933; -0.1689; 0.4072; -9.8994;   0.00;  -0.00;   0.00;  -0.20;  -0.28;   0.58 
9869; -2.4614; -1.1790; 125.2933; -0.1807; 0.3965; -9.9121;   0.00;   0.00;   0.00;  -0.20;  -0.30;   0.60 
9870; -2.4614; -1.1790; 125.2933; -0.1406; 0.4219; -9.9639;   0.00;  -0.00;   0.00;  -0.20;  -0.30;   0.59 
9871; -2.4614; -1.1790; 125.2933; -0.1455; 0.4287; -9.9609;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9872; -2.4614; -1.1790; 125.2933; -0.1875; 0.4189; -9.8701;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9873; -2.4614; -1.1790; 125.2933; -0.1992; 0.4219; -9.8867;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9874; -2.4614; -1.1790; 125.2933; -0.1162; 0.4355; -9.9258;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.60 
9875; -2.4614; -1.1790; 125.2933; -0.1748; 0.4268; -9.9775;   0.00;  -0.00;   0.00;  -0.20;  -0.30;   0.59 
9876; -2.4614; -1.1790; 125.2933; -0.2305; 0.3906; -9.9043;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9877; -2.4614; -1.1790; 125.2933; -0.1416; 0.4717; -9.8691;   0.00;  -0.00;   0.00;  -0.21;  -0.28;   0.59 
9878; -2.4614; -1.1790; 125.2933; -0.1426; 0.4072; -9.9619;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
