TimeStamp;(accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 

Sensors:
     0. Accelerometer @ 2000 us.
     1. Gyroscope @ 2000 us.
     2. Magnetometer @ 2000 us.
     3. Ambient Light Sensor disabled.
     4. Pressure Sensor disabled.
     5. Proximity Sensor disabled.
     6. Sensor Fusion @ 2000 us.

1687869136.6217; -0.3760; 0.2549; -9.6553;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.6237; -0.3242; 0.3193; -9.6611;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.28 
1687869136.6257; -0.3457; 0.2891; -9.6758;  -0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.26 
1687869136.6277; -0.3203; 0.3174; -9.5986;  -0.00;  -0.00;  -0.00;  -0.35;   1.05;  -0.27 
1687869136.6297; -0.3477; 0.3262; -9.6465;  -0.00;  -0.00;   0.00;  -0.35;   1.05;  -0.26 
1687869136.6317; -0.3682; 0.3008; -9.6035;   0.00;  -0.00;   0.00;  -0.36;   1.06;  -0.28 
1687869136.6337; -0.3135; 0.2266; -9.6592;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.6357; -0.3760; 0.3467; -9.6357;  -0.00;   0.00;   0.00;  -0.35;   1.05;  -0.26 
1687869136.6377; -0.3086; 0.2959; -9.5996;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.28 
1687869136.6397; -0.3438; 0.2949; -9.7021;   0.00;  -0.00;  -0.00;  -0.35;   1.07;  -0.27 
1687869136.6417; -0.3525; 0.2646; -9.6602;  -0.00;   0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.6437; -0.3770; 0.3184; -9.6963;  -0.00;   0.00;  -0.00;  -0.35;   1.06;  -0.28 
1687869136.6457; -0.3271; 0.3340; -9.5791;  -0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.6477; -0.3477; 0.3096; -9.6533;   0.00;  -0.00;   0.00;  -0.36;   1.06;  -0.27 
1687869136.6497; -0.3389; 0.3018; -9.6875;  -0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.6517; -0.3301; 0.2764; -9.5840;   0.00;   0.00;  -0.00;  -0.36;   1.06;  -0.27 
1687869136.6537; -0.3262; 0.3223; -9.6631;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.6557; -0.3623; 0.3271; -9.6650;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.6577; -0.3525; 0.2969; -9.6875;   0.00;  -0.00;  -0.00;  -0.34;   1.05;  -0.27 
1687869136.6597; -0.3066; 0.2900; -9.6475;   0.00;  -0.00;  -0.00;  -0.36;   1.06;  -0.27 
1687869136.6617; -0.3066; 0.2881; -9.6436;   0.00;  -0.00;  -0.00;  -0.34;   1.06;  -0.28 
1687869136.6637; -0.3350; 0.2803; -9.6475;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.6657; -0.3594; 0.2979; -9.6543;  -0.00;   0.00;  -0.00;  -0.35;   1.06;  -0.26 
1687869136.6677; -0.3301; 0.3301; -9.6221;  -0.00;   0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.6697; -0.3623; 0.3242; -9.6553;  -0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.6717; -0.3535; 0.2812; -9.5977;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.6737; -0.3623; 0.3193; -9.6670;  -0.00;  -0.00;  -0.00;  -0.35;   1.05;  -0.27 
1687869136.6757; -0.3184; 0.2754; -9.6318;  -0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.6777; -0.3340; 0.2920; -9.6924;   0.00;   0.00;   0.00;  -0.36;   1.06;  -0.27 
1687869136.6797; -0.3350; 0.2275; -9.6377;  -0.00;  -0.00;   0.00;  -0.35;   1.07;  -0.27 
1687869136.6817; -0.3379; 0.2754; -9.6357;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.6837; -0.3379; 0.3047; -9.6445;   0.00;   0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.6857; -0.3379; 0.3535; -9.6025;   0.00;  -0.00;   0.00;  -0.35;   1.05;  -0.27 
1687869136.6877; -0.3672; 0.3066; -9.7129;   0.00;  -0.00;  -0.00;  -0.35;   1.05;  -0.27 
