sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 
10943; -4.7035; -3.9793; -130.6349; -0.1377; 0.2920; -11.4014;   0.00;   0.21;   0.01;  -0.38;   0.42;   0.03 
10944; -4.7057; -3.8856; -130.6306; -0.5098; 0.5439; -11.6270;   0.00;   0.20;   0.01;  -0.38;   0.42;   0.03 
10945; -4.7026; -3.7946; -130.6369; -0.8457; 0.7109; -11.5967;   0.00;   0.18;   0.01;  -0.39;   0.42;   0.03 
10946; -4.7052; -3.7164; -130.6418; -0.5078; 0.5889; -11.6689;  -0.00;   0.17;   0.00;  -0.38;   0.42;   0.03 
10947; -4.7007; -3.6415; -130.6451; -0.6406; 0.5088; -11.5400;  -0.00;   0.15;   0.00;  -0.39;   0.43;   0.03 
10948; -4.6999; -3.5725; -130.6496; -0.2080; 0.3740; -11.3613;  -0.00;   0.14;   0.00;  -0.38;   0.43;   0.03 
10949; -4.7020; -3.5100; -130.6535; -0.2510; 0.4072; -11.1660;   0.00;   0.13;   0.01;  -0.39;   0.42;   0.03 
10950; -4.6999; -3.4570; -130.6551; -0.3467; 0.5176; -11.1230;   0.00;   0.11;   0.00;  -0.39;   0.42;   0.03 
10951; -4.6986; -3.4037; -130.6586; -0.3828; 0.5830; -11.0654;   0.00;   0.10;   0.00;  -0.39;   0.42;   0.03 
10952; -4.7031; -3.3632; -130.6609; -0.7822; 0.5654; -10.8447;  -0.00;   0.09;   0.00;  -0.39;   0.43;   0.03 
10953; -4.7047; -3.3163; -130.6638; -0.6973; 0.4424; -10.8525;   0.00;   0.09;   0.00;  -0.39;   0.42;   0.04 
10954; -4.7028; -3.2787; -130.6663; -0.4580; 0.4023; -11.0420;   0.00;   0.08;   0.00;  -0.38;   0.43;   0.04 
10955; -4.7030; -3.2477; -130.6663; -0.2246; 0.3691; -11.2227;   0.00;   0.07;   0.00;  -0.39;   0.42;   0.04 
10956; -4.6978; -3.2193; -130.6684; -0.0312; 0.3936; -11.2656;   0.00;   0.06;   0.00;  -0.40;   0.42;   0.03 
10957; -4.7017; -3.1944; -130.6697; -0.1895; 0.4355; -11.2041;   0.00;   0.04;  -0.00;  -0.40;   0.42;   0.03 
10958; -4.6994; -3.1724; -130.6712; -0.4424; 0.5332; -11.2451;  -0.00;   0.03;  -0.00;  -0.39;   0.42;   0.04 
10959; -4.6965; -3.1661; -130.6718; -0.5449; 0.6162; -11.1572;   0.00;   0.02;   0.00;  -0.39;   0.42;   0.03 
10960; -4.6999; -3.1568; -130.6721; -0.6875; 0.6670; -11.0674;   0.00;   0.01;  -0.00;  -0.39;   0.42;   0.03 
10961; -4.6970; -3.1504; -130.6727; -0.3330; 0.4746; -11.0342;   0.00;   0.00;   0.00;  -0.39;   0.43;   0.04 
10962; -4.6997; -3.1566; -130.6636; 0.5117; 0.2012; -10.2607;  -0.00;  -0.01;   0.01;  -0.39;   0.42;   0.04 
10963; -4.7006; -3.1563; -130.6655; -0.1689; 0.1084; -9.5615;  -0.00;  -0.02;   0.02;  -0.40;   0.42;   0.03 
10964; -4.6968; -3.1652; -130.6479; 0.2539; 0.0723; -9.3311;  -0.00;  -0.01;   0.03;  -0.40;   0.42;   0.03 
10965; -4.7002; -3.1709; -130.6322; -0.4658; 0.4258; -9.1650;   0.00;  -0.01;   0.04;  -0.39;   0.43;   0.03 
10966; -4.7014; -3.1698; -130.6103; -0.7266; 0.7178; -9.3369;   0.00;  -0.00;   0.06;  -0.40;   0.42;   0.03 
10967; -4.7024; -3.1685; -130.5798; -0.3457; 0.7402; -9.7139;   0.00;   0.00;   0.07;  -0.39;   0.42;   0.04 
10968; -4.6996; -3.1611; -130.5480; -0.2627; 0.4912; -9.9092;   0.00;   0.01;   0.07;  -0.39;   0.43;   0.03 
10969; -4.6976; -3.1534; -130.5181; 0.1484; 0.1670; -10.1631;   0.00;   0.01;   0.08;  -0.39;   0.43;   0.04 
10970; -4.7055; -3.1486; -130.4721; 0.3301; -0.0420; -10.4473;   0.00;   0.00;   0.09;  -0.38;   0.43;   0.03 
10971; -4.7061; -3.1469; -130.4245; 0.1035; 0.1836; -10.4482;   0.00;  -0.00;   0.11;  -0.40;   0.42;   0.04 
10972; -4.7082; -3.1444; -130.3720; -0.2207; 0.4375; -10.3604;   0.00;  -0.01;   0.13;  -0.39;   0.42;   0.03 
10973; -4.7102; -3.1418; -130.3110; -0.4473; 0.6758; -10.0098;   0.00;  -0.01;   0.14;  -0.39;   0.43;   0.03 
10974; -4.7119; -3.1390; -130.2413; -0.5059; 0.5996; -9.6113;   0.00;  -0.01;   0.14;  -0.39;   0.42;   0.04 
10975; -4.7168; -3.1427; -130.1796; -0.3428; 0.4160; -9.3242;   0.00;  -0.01;   0.15;  -0.39;   0.42;   0.03 
10976; -4.7184; -3.1397; -130.1013; -0.0791; 0.2012; -9.2480;   0.00;  -0.01;   0.16;  -0.40;   0.42;   0.04 
10977; -4.7208; -3.1365; -130.0249; 0.1133; 0.2100; -9.5410;   0.00;  -0.00;   0.18;  -0.39;   0.43;   0.03 
