sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 
303; -2.3672; -0.9434; 13.6115; -0.1553; 0.3408; -9.8379;   0.00;  -0.01;   0.25;   0.07;   0.63;  -0.02 
304; -2.3681; -0.9410; 13.7244; -0.1729; 0.3984; -9.8525;   0.00;  -0.01;   0.26;   0.06;   0.64;  -0.02 
305; -2.3691; -0.9386; 13.8440; -0.1602; 0.3721; -9.8486;   0.00;  -0.01;   0.26;   0.06;   0.63;  -0.01 
306; -2.3631; -0.9368; 13.9704; -0.1357; 0.3789; -9.8369;   0.00;  -0.01;   0.28;   0.07;   0.63;  -0.02 
307; -2.3641; -0.9342; 14.0967; -0.1602; 0.3340; -9.8330;   0.00;  -0.01;   0.29;   0.07;   0.63;  -0.02 
308; -2.3659; -0.9383; 14.2365; -0.1846; 0.4111; -9.8662;   0.01;  -0.01;   0.30;   0.07;   0.63;  -0.02 
309; -2.3603; -0.9362; 14.3788; -0.1777; 0.3213; -9.9043;   0.01;  -0.01;   0.31;   0.06;   0.63;  -0.03 
310; -2.3617; -0.9331; 14.5277; -0.1699; 0.3916; -9.8496;   0.00;  -0.01;   0.33;   0.07;   0.63;  -0.03 
311; -2.3626; -0.9300; 14.6807; -0.1748; 0.3271; -9.8545;   0.01;  -0.01;   0.34;   0.07;   0.64;  -0.02 
312; -2.3579; -0.9346; 14.8364; -0.1631; 0.4248; -9.8398;   0.01;  -0.01;   0.35;   0.07;   0.64;  -0.02 
313; -2.3592; -0.9313; 14.9986; -0.1357; 0.3574; -9.8281;   0.01;  -0.01;   0.36;   0.07;   0.63;  -0.02 
314; -2.3605; -0.9278; 15.1674; -0.1719; 0.3604; -9.8555;   0.01;  -0.01;   0.37;   0.07;   0.64;  -0.02 
315; -2.3553; -0.9252; 15.3389; -0.1367; 0.3496; -9.8877;   0.01;  -0.01;   0.38;   0.07;   0.64;  -0.02 
316; -2.3575; -0.9285; 15.5144; -0.1611; 0.3779; -9.8818;   0.01;  -0.01;   0.39;   0.07;   0.64;  -0.03 
317; -2.3518; -0.9257; 15.6964; -0.1357; 0.3242; -9.8311;   0.01;  -0.01;   0.40;   0.07;   0.64;  -0.03 
318; -2.3534; -0.9219; 15.8811; -0.1367; 0.3799; -9.8535;   0.01;  -0.01;   0.41;   0.07;   0.65;  -0.02 
319; -2.3481; -0.9190; 16.0724; -0.1387; 0.3467; -9.8643;   0.01;  -0.01;   0.42;   0.06;   0.64;  -0.02 
320; -2.3507; -0.9218; 16.2704; -0.1533; 0.3857; -9.8770;   0.01;  -0.02;   0.44;   0.07;   0.64;  -0.03 
321; -2.3523; -0.9177; 16.4748; -0.1777; 0.3809; -9.8770;   0.01;  -0.02;   0.45;   0.07;   0.64;  -0.02 
322; -2.3469; -0.9143; 16.6857; -0.1387; 0.3320; -9.8574;   0.01;  -0.02;   0.46;   0.07;   0.64;  -0.01 
323; -2.3499; -0.9169; 16.8997; -0.1514; 0.4258; -9.8750;   0.01;  -0.02;   0.47;   0.08;   0.64;  -0.02 
324; -2.3444; -0.9135; 17.1170; -0.1387; 0.3652; -9.8516;   0.01;  -0.01;   0.48;   0.08;   0.64;  -0.02 
325; -2.3463; -0.9088; 17.3438; -0.1436; 0.4131; -9.8379;   0.01;  -0.01;   0.49;   0.07;   0.63;  -0.02 
326; -2.3412; -0.9052; 17.5705; -0.1465; 0.3760; -9.8750;   0.01;  -0.02;   0.50;   0.07;   0.63;  -0.02 
327; -2.3430; -0.9006; 17.7971; -0.1406; 0.3770; -9.8223;   0.01;  -0.02;   0.51;   0.08;   0.64;  -0.02 
328; -2.3389; -0.9037; 18.0368; -0.1348; 0.4014; -9.8594;   0.01;  -0.02;   0.53;   0.07;   0.64;  -0.02 
329; -2.3411; -0.8987; 18.2795; -0.1367; 0.3936; -9.8311;   0.01;  -0.02;   0.54;   0.07;   0.63;  -0.02 
330; -2.3363; -0.8946; 18.5351; -0.1387; 0.3535; -9.8467;   0.01;  -0.02;   0.55;   0.08;   0.64;  -0.03 
331; -2.3390; -0.8965; 18.7808; -0.1455; 0.3574; -9.8398;   0.01;  -0.02;   0.56;   0.07;   0.64;  -0.02 
332; -2.3345; -0.8923; 19.0460; -0.1592; 0.4170; -9.8896;   0.01;  -0.02;   0.57;   0.07;   0.64;  -0.02 
333; -2.3376; -0.8938; 19.3077; -0.1367; 0.3320; -9.9189;   0.01;  -0.02;   0.57;   0.08;   0.65;  -0.02 
334; -2.3326; -0.8897; 19.5691; -0.1670; 0.2686; -9.8809;   0.01;  -0.02;   0.59;   0.08;   0.64;  -0.02 
335; -2.3349; -0.8840; 19.8468; -0.1152; 0.3516; -9.8711;   0.01;  -0.02;   0.61;   0.07;   0.64;  -0.02 
